FeatureCode,DateCode,Measurement,Units,Value,Scottish Health Survey Indicator,Sex
S12000047,2016-2019,95% Lower Confidence Limit,Percent Of Adults,15.5,Smoking status: Current smoker,Female
S08000015,2016-2019,95% Upper Confidence Limit,Percent Of Adults,72,Self-assessed general health: Very good/Good,Female
S12000047,2015-2018,95% Lower Confidence Limit,Percent Of Adults,6.7,Fruit & vegetable consumption: None,Female
S08000015,2016-2019,95% Lower Confidence Limit,Percent Of Adults,65.3,Self-assessed general health: Very good/Good,Female
S12000027,2016-2019,95% Lower Confidence Limit,Portions of fruit & vegetables,2.8,Fruit & vegetable consumption (mean daily portions),Female
S12000027,2016-2019,95% Upper Confidence Limit,Percent Of Adults,39.1,Long-term illness: Limiting long-term illness,Female
S08000020,2016-2019,95% Lower Confidence Limit,Percent Of Adults,2.8,E-cigarette use: Currently using,Female
S12000047,2016-2019,95% Upper Confidence Limit,Percent Of Adults,38.3,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),Female
S08000015,2015-2018,Percent,Percent Of Adults,47,Long-term illness: Limiting long-term illness,Female
S12000027,2016-2019,95% Upper Confidence Limit,Units of alcohol,8.8,Alcohol consumption (mean weekly units),Female
S12000027,2016-2019,95% Upper Confidence Limit,Percent Of Adults,30.2,Summary activity levels: Very low activity,Female
S12000027,2016-2019,95% Lower Confidence Limit,Percent Of Adults,80,"Provide any regular help or care for any sick, disabled or frail person: No",Female
S08000020,2016-2019,95% Upper Confidence Limit,Percent Of Adults,5.1,E-cigarette use: Currently using,Female
S08000015,2015-2018,Percent,Percent Of Adults,72,Fruit & vegetable consumption: Less than 5 portions,Female
S12000027,2015-2018,95% Upper Confidence Limit,Percent Of Adults,18.5,Alcohol consumption: Hazardous/Harmful drinker,Female
S12000047,2016-2019,95% Lower Confidence Limit,Percent Of Adults,42.6,Long-term illness: No long-term illness,Female
S12000047,2016-2019,Percent,Percent Of Adults,46,Long-term illness: No long-term illness,Female
S12000027,2016-2019,95% Lower Confidence Limit,Percent Of Adults,7.2,Summary activity levels: Some activity,Female
S08000020,2016-2019,Percent,Percent Of Adults,70,Obesity: Not obese,Female
S12000047,2016-2019,95% Upper Confidence Limit,Percent Of Adults,49.5,Long-term illness: No long-term illness,Female
S12000047,2015-2018,Percent,Percent Of Adults,49,Long-term illness: No long-term illness,Female
S12000027,2016-2019,95% Upper Confidence Limit,Percent Of Adults,25.8,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),Female
S08000020,2016-2019,Percent,Percent Of Adults,65,Alcohol consumption: Moderate drinker,Female
S12000047,2015-2018,95% Lower Confidence Limit,Percent Of Adults,45.7,Long-term illness: No long-term illness,Female
S12000047,2015-2018,95% Upper Confidence Limit,Percent Of Adults,52.2,Long-term illness: No long-term illness,Female
S12000027,2016-2019,95% Lower Confidence Limit,Percent Of Adults,15.4,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),Female
S08000020,2016-2019,Percent,Percent Of Adults,4,E-cigarette use: Currently using,Female
S12000047,2016-2019,Percent,Percent Of Adults,33,Overweight: Not overweight or obese,Female
S12000027,2015-2018,Percent,Percent Of Adults,62,Smoking status: Never smoked/Used to smoke occasionally,Female
S08000015,2016-2019,Percent,Percent Of Adults,62,Alcohol consumption: Moderate drinker,Female
S12000027,2015-2018,95% Upper Confidence Limit,Percent Of Adults,67.7,Smoking status: Never smoked/Used to smoke occasionally,Female
S12000027,2016-2019,95% Upper Confidence Limit,Percent Of Adults,15.9,Summary activity levels: Some activity,Female
S12000027,2015-2018,95% Lower Confidence Limit,Percent Of Adults,55.3,Smoking status: Never smoked/Used to smoke occasionally,Female
S12000047,2015-2018,95% Upper Confidence Limit,Percent Of Adults,40.3,Long-term illness: Limiting long-term illness,Female
S12000047,2016-2019,95% Lower Confidence Limit,Percent Of Adults,31.7,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),Female
S12000047,2016-2019,Percent,Percent Of Adults,34,Obesity: Obese,Female
S12000047,2016-2019,Percent,Percent Of Adults,35,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),Female
S08000015,2016-2019,95% Lower Confidence Limit,Percent Of Adults,21,Alcohol consumption: Non-drinker,Female
S08000015,2016-2019,Percent,Percent Of Adults,24,Alcohol consumption: Non-drinker,Female
S12000027,2016-2019,Percent,Percent Of Adults,24,Alcohol consumption: Non-drinker,Female
S12000047,2015-2018,95% Upper Confidence Limit,Percent Of Adults,37.4,Overweight: Not overweight or obese,Female
S12000047,2015-2018,95% Lower Confidence Limit,Percent Of Adults,30.4,Overweight: Not overweight or obese,Female
S08000020,2015-2018,Percent,Percent Of Adults,18,Smoking status: Current smoker,Female
S08000020,2015-2018,95% Lower Confidence Limit,Percent Of Adults,15.4,Smoking status: Current smoker,Female
S12000027,2016-2019,95% Lower Confidence Limit,Percent Of Adults,17.6,Alcohol consumption: Non-drinker,Female
S08000020,2015-2018,95% Upper Confidence Limit,Percent Of Adults,19.9,Smoking status: Current smoker,Female
S12000027,2015-2018,95% Lower Confidence Limit,Percent Of Adults,13.4,Smoking status: Current smoker,Female
S12000047,2016-2019,95% Lower Confidence Limit,Percent Of Adults,11.5,Long-term illness: Non-limiting long-term illness,Female
S12000027,2016-2019,Percent,Percent Of Adults,19,Doctor-diagnosed asthma: Yes,Female
S12000027,2015-2018,Percent,Percent Of Adults,18,Smoking status: Current smoker,Female
S12000027,2016-2019,Mean,Units of alcohol,7.3,Alcohol consumption (mean weekly units),Female
S12000047,2016-2019,95% Upper Confidence Limit,Percent Of Adults,15.9,Long-term illness: Non-limiting long-term illness,Female
S12000047,2016-2019,Percent,Percent Of Adults,14,Long-term illness: Non-limiting long-term illness,Female
S08000020,2016-2019,95% Lower Confidence Limit,Percent Of Adults,5.2,Fruit & vegetable consumption: None,Female
S12000027,2015-2018,95% Upper Confidence Limit,Percent Of Adults,22.9,Smoking status: Current smoker,Female
S12000047,2015-2018,Percent,Percent Of Adults,34,Overweight: Not overweight or obese,Female
S08000020,2016-2019,Percent,Percent Of Adults,7,Fruit & vegetable consumption: None,Female
S08000015,2015-2018,95% Lower Confidence Limit,Percent Of Adults,43.4,Long-term illness: Limiting long-term illness,Female
S08000015,2015-2018,95% Upper Confidence Limit,Percent Of Adults,50.2,Long-term illness: Limiting long-term illness,Female
S12000047,2016-2019,Percent,Percent Of Adults,5,Summary activity levels: Low activity,Female
S12000047,2015-2018,Percent,Percent Of Adults,66,Overweight: Overweight (including obese),Female
S12000047,2015-2018,Percent,Percent Of Adults,18,Alcohol consumption: Non-drinker,Female
S12000047,2016-2019,95% Upper Confidence Limit,Percent Of Adults,6.3,Summary activity levels: Low activity,Female
S12000027,2015-2018,95% Upper Confidence Limit,Percent Of Adults,63.2,General health questionnaire (GHQ-12): Score 0,Female
S12000047,2016-2019,95% Upper Confidence Limit,Percent Of Adults,17.7,Alcohol consumption: Non-drinker,Female
S12000047,2015-2018,95% Upper Confidence Limit,Percent Of Adults,69.6,Overweight: Overweight (including obese),Female
S12000047,2015-2018,95% Lower Confidence Limit,Percent Of Adults,15.6,Alcohol consumption: Non-drinker,Female
S12000047,2015-2018,95% Upper Confidence Limit,Percent Of Adults,20.6,Alcohol consumption: Non-drinker,Female
S12000047,2016-2019,95% Lower Confidence Limit,Percent Of Adults,63.3,Overweight: Overweight (including obese),Female
S12000047,2016-2019,95% Upper Confidence Limit,Percent Of Adults,70.6,Overweight: Overweight (including obese),Female
S12000027,2015-2018,95% Upper Confidence Limit,Percent Of Adults,18.2,Summary activity levels: Some activity,Female
S08000022,2016-2019,Percent,Percent Of Adults,17,Long-term illness: Non-limiting long-term illness,Female
S12000027,2016-2019,95% Upper Confidence Limit,Portions of fruit & vegetables,3.3,Fruit & vegetable consumption (mean daily portions),Female
S12000027,2016-2019,Mean,Portions of fruit & vegetables,3,Fruit & vegetable consumption (mean daily portions),Female
S12000047,2016-2019,95% Upper Confidence Limit,Percent Of Adults,26,Fruit & vegetable consumption: 5 portions or more,Female
S12000047,2016-2019,Percent,Percent Of Adults,86,Any cardiovascular condition: No cardiovascular condition,Female
S12000047,2015-2018,Percent,Percent Of Adults,19,Smoking status: Current smoker,Female
S12000027,2016-2019,95% Lower Confidence Limit,Percent Of Adults,72.4,Fruit & vegetable consumption: Less than 5 portions,Female
S12000027,2016-2019,95% Upper Confidence Limit,Percent Of Adults,83.2,Fruit & vegetable consumption: Less than 5 portions,Female
S12000047,2016-2019,95% Lower Confidence Limit,Percent Of Adults,20.3,Fruit & vegetable consumption: 5 portions or more,Female
S08000022,2015-2018,Percent,Percent Of Adults,7,Fruit & vegetable consumption: None,Female
S12000027,2015-2018,Percent,Percent Of Adults,33,Long-term illness: Limiting long-term illness,Female
S08000015,2016-2019,95% Lower Confidence Limit,Percent Of Adults,28.3,Overweight: Not overweight or obese,Female
S12000027,2015-2018,95% Lower Confidence Limit,Percent Of Adults,26.6,Long-term illness: Limiting long-term illness,Female
S08000022,2015-2018,95% Lower Confidence Limit,Percent Of Adults,4.5,E-cigarette use: Currently using,Female
S12000047,2015-2018,95% Lower Confidence Limit,Percent Of Adults,62.6,Overweight: Overweight (including obese),Female
S08000015,2016-2019,Percent,Percent Of Adults,26,Life satisfaction: Mode (8),Female
S12000047,2015-2018,Mean,WEMWBS Score,49.5,Mental wellbeing,Female
S12000047,2015-2018,95% Upper Confidence Limit,WEMWBS Score,50.1,Mental wellbeing,Female
S12000047,2016-2019,Percent,Percent Of Adults,40,Long-term illness: Limiting long-term illness,Female
S12000047,2015-2018,95% Lower Confidence Limit,WEMWBS Score,48.9,Mental wellbeing,Female
S08000015,2015-2018,Percent,Percent Of Adults,9,E-cigarette use: Currently using,Female
S08000022,2015-2018,95% Upper Confidence Limit,Percent Of Adults,25.7,Summary activity levels: Very low activity,Female
S12000047,2015-2018,95% Upper Confidence Limit,Percent Of Adults,10.7,E-cigarette use: Currently using,Female
S12000047,2016-2019,95% Lower Confidence Limit,Percent Of Adults,6.7,E-cigarette use: Currently using,Female
S12000047,2016-2019,95% Upper Confidence Limit,Percent Of Adults,10.5,E-cigarette use: Currently using,Female
S08000015,2016-2019,Percent,Percent Of Adults,27,Smoking status: Used to smoke regularly,Female
S12000027,2015-2018,Mean,WEMWBS Score,50.7,Mental wellbeing,Female
S08000022,2016-2019,Percent,Percent Of Adults,59,Smoking status: Never smoked/Used to smoke occasionally,Female
S08000015,2016-2019,Percent,Percent Of Adults,32,Overweight: Not overweight or obese,Female
S12000027,2016-2019,95% Upper Confidence Limit,Percent Of Adults,7.7,Self-assessed general health: Bad/Very bad,Female
S12000027,2016-2019,Percent,Percent Of Adults,4,E-cigarette use: Currently using,Female
S12000027,2016-2019,Percent,Percent Of Adults,4,Self-assessed general health: Bad/Very bad,Female
S12000047,2016-2019,Percent,Percent Of Adults,15,Alcohol consumption: Non-drinker,Female
S12000027,2016-2019,95% Lower Confidence Limit,Percent Of Adults,1.1,Self-assessed general health: Bad/Very bad,Female
S12000047,2016-2019,Percent,Percent Of Adults,67,Overweight: Overweight (including obese),Female
S12000047,2016-2019,95% Lower Confidence Limit,Percent Of Adults,77.3,Doctor-diagnosed asthma: No,Female
S12000047,2016-2019,95% Upper Confidence Limit,Percent Of Adults,83,Doctor-diagnosed asthma: No,Female
S12000027,2015-2018,95% Lower Confidence Limit,Units of alcohol,6.3,Alcohol consumption (mean weekly units),Female
S08000022,2016-2019,95% Upper Confidence Limit,Percent Of Adults,64.2,Smoking status: Never smoked/Used to smoke occasionally,Female
S12000047,2016-2019,Percent,Percent Of Adults,80,Doctor-diagnosed asthma: No,Female
S12000047,2016-2019,95% Lower Confidence Limit,Percent Of Adults,12.9,Alcohol consumption: Non-drinker,Female
S08000022,2015-2018,95% Lower Confidence Limit,Percent Of Adults,17.3,General health questionnaire (GHQ-12): Score 1-3,Female
S12000027,2016-2019,Percent,Percent Of Adults,33,Long-term illness: Limiting long-term illness,Female
S12000027,2015-2018,95% Lower Confidence Limit,Percent Of Adults,70.3,Self-assessed general health: Very good/Good,Female
S12000047,2015-2018,Percent,Percent Of Adults,20,Self-assessed general health: Fair,Female
S12000027,2016-2019,95% Upper Confidence Limit,Percent Of Adults,81.5,Self-assessed general health: Very good/Good,Female
S08000022,2015-2018,Percent,Percent Of Adults,9,E-cigarette use: Ever previously used,Female
S12000047,2015-2018,95% Upper Confidence Limit,Percent Of Adults,22.3,Self-assessed general health: Fair,Female
S12000047,2016-2019,Percent,Percent Of Adults,27,General health questionnaire (GHQ-12): Score 1-3,Female
S12000047,2015-2018,95% Lower Confidence Limit,Percent Of Adults,34,Long-term illness: Limiting long-term illness,Female
S12000047,2015-2018,Percent,Percent Of Adults,58,Smoking status: Never smoked/Used to smoke occasionally,Female
S12000047,2016-2019,Percent,Percent Of Adults,23,Fruit & vegetable consumption: 5 portions or more,Female
S08000015,2016-2019,95% Upper Confidence Limit,Percent Of Adults,58.3,Summary activity levels: Meets recommendations,Female
S12000047,2015-2018,95% Lower Confidence Limit,Percent Of Adults,17.3,Self-assessed general health: Fair,Female
S08000015,2015-2018,95% Lower Confidence Limit,Percent Of Adults,23.2,General health questionnaire (GHQ-12): Score 1-3,Female
S12000027,2015-2018,95% Upper Confidence Limit,Percent Of Adults,10.7,Fruit & vegetable consumption: None,Female
S12000047,2015-2018,Percent,Percent Of Adults,9,E-cigarette use: Currently using,Female
S08000022,2015-2018,95% Upper Confidence Limit,Percent Of Adults,10.7,E-cigarette use: Currently using,Female
S12000027,2016-2019,95% Lower Confidence Limit,Percent Of Adults,69.4,Self-assessed general health: Very good/Good,Female
S12000027,2016-2019,Percent,Percent Of Adults,75,Self-assessed general health: Very good/Good,Female
S12000047,2016-2019,95% Upper Confidence Limit,Percent Of Adults,24.1,Self-assessed general health: Fair,Female
S08000015,2016-2019,95% Upper Confidence Limit,Percent Of Adults,11.8,E-cigarette use: Currently using,Female
S12000027,2016-2019,Percent,Percent Of Adults,39,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Female
S12000027,2015-2018,95% Upper Confidence Limit,Percent Of Adults,20.4,Long-term illness: Non-limiting long-term illness,Female
S08000022,2016-2019,95% Upper Confidence Limit,Percent Of Adults,20.9,Long-term illness: Non-limiting long-term illness,Female
S12000027,2016-2019,Percent,Percent Of Adults,78,Fruit & vegetable consumption: Less than 5 portions,Female
S12000047,2016-2019,Percent,Percent Of Adults,21,Self-assessed general health: Fair,Female
S12000047,2016-2019,95% Lower Confidence Limit,Percent Of Adults,18.6,Self-assessed general health: Fair,Female
S12000027,2016-2019,Percent,Percent Of Adults,59,General health questionnaire (GHQ-12): Score 0,Female
S12000027,2016-2019,95% Lower Confidence Limit,Percent Of Adults,52.2,General health questionnaire (GHQ-12): Score 0,Female
S12000027,2016-2019,Percent,Percent Of Adults,24,Summary activity levels: Very low activity,Female
